,index,character,rating_group,count,percent
0,0,Luke Skywalker,Favorable,771,0.927797833935018
1,1,Han Solo,Favorable,761,0.9179734620024126
2,2,Princess Leia Organa,Favorable,757,0.910950661853189
3,3,Obi Wan Kenobi,Favorable,750,0.9090909090909091
4,4,Yoda,Favorable,749,0.9067796610169492
5,5,R2 D2,Favorable,747,0.9
6,6,C-3P0,Favorable,703,0.8500604594921403
7,7,Anakin Skywalker,Favorable,514,0.6245443499392467
8,8,Darth Vader,Favorable,481,0.5823244552058111
9,9,Lando Calrissian,Favorable,365,0.4451219512195122
10,10,Padme Amidala,Favorable,351,0.4312039312039312
11,11,Jar Jar Binks,Unfavorable,306,0.37271619975639464
12,12,Boba Fett,Favorable,291,0.3583743842364532
13,13,Emperor Palpatine,Favorable,253,0.3108108108108108
14,14,Darth Vader,Unfavorable,251,0.30387409200968524
15,15,Boba Fett,Neutral,248,0.3054187192118227
16,16,Jar Jar Binks,Favorable,242,0.29476248477466505
17,17,Lando Calrissian,Neutral,236,0.28780487804878047
18,18,Emperor Palpatine,Neutral,213,0.2616707616707617
19,19,Padme Amidala,Neutral,207,0.2542997542997543
20,20,Emperor Palpatine,Unfavorable,192,0.23587223587223588
21,21,Padme Amidala,Unfamiliar,164,0.20147420147420148
22,22,Jar Jar Binks,Neutral,164,0.1997563946406821
23,23,Emperor Palpatine,Unfamiliar,156,0.19164619164619165
24,24,Lando Calrissian,Unfamiliar,148,0.18048780487804877
25,25,Boba Fett,Unfavorable,141,0.17364532019704434
26,26,Anakin Skywalker,Neutral,135,0.16403402187120292
27,27,Boba Fett,Unfamiliar,132,0.1625615763546798
28,28,Anakin Skywalker,Unfavorable,122,0.14823815309842042
29,29,Jar Jar Binks,Unfamiliar,109,0.13276492082825822
30,30,Padme Amidala,Unfavorable,92,0.11302211302211303
31,31,Darth Vader,Neutral,84,0.1016949152542373
32,32,C-3P0,Neutral,79,0.09552599758162031
33,33,Lando Calrissian,Unfavorable,71,0.08658536585365853
34,34,R2 D2,Neutral,57,0.06867469879518072
35,35,Anakin Skywalker,Unfamiliar,52,0.06318347509113001
36,36,Yoda,Neutral,51,0.06174334140435835
37,37,Princess Leia Organa,Neutral,48,0.05776173285198556
38,38,Han Solo,Neutral,44,0.05307599517490953
39,39,Obi Wan Kenobi,Neutral,43,0.052121212121212124
40,40,Luke Skywalker,Neutral,38,0.0457280385078219
41,41,C-3P0,Unfavorable,30,0.036275695284159616
42,42,Princess Leia Organa,Unfavorable,18,0.021660649819494584
43,43,Obi Wan Kenobi,Unfamiliar,17,0.020606060606060607
44,44,R2 D2,Unfavorable,16,0.01927710843373494
45,45,Yoda,Unfavorable,16,0.01937046004842615
46,46,Luke Skywalker,Unfavorable,16,0.019253910950661854
47,47,Han Solo,Unfamiliar,15,0.018094089264173704
48,48,C-3P0,Unfamiliar,15,0.018137847642079808
49,49,Obi Wan Kenobi,Unfavorable,15,0.01818181818181818
50,50,Yoda,Unfamiliar,10,0.012106537530266344
51,51,Darth Vader,Unfamiliar,10,0.012106537530266344
52,52,R2 D2,Unfamiliar,10,0.012048192771084338
53,53,Han Solo,Unfavorable,9,0.010856453558504222
54,54,Princess Leia Organa,Unfamiliar,8,0.009626955475330927
55,55,Luke Skywalker,Unfamiliar,6,0.007220216606498195
